mean,std,abs_mean,iqr,bp_delta,bp_theta,bp_alpha,bp_beta
2.3841857e-11,0.030436251,0.020779304,0.026283048,0.43953034,0.064186506,0.033031065,0.027935188
-3.1789144e-10,0.031218598,0.022314848,0.0311042,1.2890218,0.12230998,0.05577385,0.032446045
3.496806e-10,0.020912869,0.014480592,0.019751165,0.2319971,0.04040889,0.038680647,0.027555326
7.947286e-10,0.024294652,0.016312048,0.020995334,0.6286895,0.03688713,0.022763921,0.028136298
1.1126201e-10,0.024836171,0.017732354,0.025349922,0.5273025,0.093528025,0.08944322,0.036713872
-1.4623006e-09,0.02773618,0.019261826,0.02674961,0.9391899,0.08106419,0.032704215,0.032195978
-5.722046e-10,0.028780922,0.02017708,0.025972009,1.4649985,0.08805253,0.064908355,0.035400786
2.2252401e-10,0.029830743,0.020174483,0.026594087,1.13064,0.106327266,0.04178667,0.03431805
-3.1789144e-10,0.030729577,0.02079726,0.027527217,1.6648884,0.07453547,0.054257076,0.038820263
1.446406e-09,0.029126279,0.021267554,0.030326594,1.2864121,0.11700092,0.034398854,0.036596302
-6.3578287e-10,0.020950012,0.015953336,0.025660964,0.51059884,0.11464644,0.05237642,0.041838612
-8.5830687e-10,0.023870822,0.017074639,0.025505444,0.35935155,0.08665104,0.03703005,0.033491667
-1.9073486e-10,0.02047514,0.014564817,0.021150857,0.41896218,0.06947408,0.035079833,0.030936092
-6.357829e-11,0.016616507,0.012617209,0.019284602,0.1757406,0.066468544,0.052406,0.035491653
5.4041543e-10,0.017462142,0.013433165,0.02161742,0.21708512,0.116714306,0.034625545,0.029712064
4.1325887e-10,0.019296763,0.014597166,0.022550544,0.28416702,0.10901755,0.040694162,0.033440698
1.3033549e-09,0.016791014,0.012693028,0.020062208,0.23946555,0.07117172,0.034743167,0.035457324
8.2651774e-10,0.018446917,0.013877822,0.021461897,0.2169522,0.12996395,0.04627457,0.03094887
-1.8755595e-09,0.013610946,0.010651684,0.017573873,0.09592413,0.07985684,0.041767452,0.029480906
3.1789144e-11,0.022369383,0.016155059,0.02192846,0.19714835,0.070713304,0.042504072,0.04324306
3.496806e-10,0.015878854,0.011659579,0.017884914,0.22062993,0.08075639,0.04714195,0.03185725
-1.4305115e-10,0.019201247,0.014698616,0.02348367,0.32327598,0.09976172,0.046562392,0.032078676
1.1285146e-09,0.01623047,0.012223834,0.019129083,0.13614288,0.062372997,0.031752598,0.03072802
-6.198883e-10,0.017935961,0.013419289,0.020101089,0.18214405,0.0701793,0.03080173,0.030780697
-1.1920929e-09,0.014454582,0.01121222,0.018040437,0.10494555,0.07645378,0.028163562,0.028613815
-1.9073486e-10,0.014532474,0.010512322,0.015863143,0.12837419,0.04494381,0.024022296,0.03205241
1.1761984e-09,0.014077243,0.010794498,0.016640745,0.12213635,0.044523455,0.026376888,0.029110666
-3.1789144e-11,0.0124805,0.009338495,0.013880249,0.07191064,0.02597415,0.016615802,0.027753564
9.854635e-10,0.010891583,0.008053314,0.0121695185,0.044144977,0.031107089,0.017203629,0.027331453
6.0399374e-10,0.011227695,0.008472767,0.013685848,0.07987292,0.030419115,0.02036664,0.02700313
-2.861023e-10,0.016486807,0.012218343,0.017884914,0.11270517,0.035263363,0.02446094,0.030610604
-6.67572e-10,0.010956671,0.007914656,0.0125972,0.042479068,0.023028314,0.017823715,0.028866107
-1.4781952e-09,0.025480945,0.016340561,0.01881804,0.07708774,0.033311874,0.023135073,0.030197423
